id,age,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income-per-year,education_10th,education_11th,education_12th,education_1st-4th,education_5th-6th,education_7th-8th,education_9th,education_Assoc-acdm,education_Assoc-voc,education_Bachelors,education_Doctorate,education_HS-grad,education_Masters,education_Preschool,education_Prof-school,education_Some-college,workclass_Federal-gov,workclass_Local-gov,workclass_Private,workclass_Self-emp-inc,workclass_Self-emp-not-inc,workclass_State-gov,workclass_Without-pay
25,-0.8256120132482542,183445,9,Never-married,Exec-managerial,Unmarried,White,Female,0,0,2.375480478425175,Puerto-Rico,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
27,2.0898845246001994,174788,10,Never-married,Sales,Not-in-family,White,Female,0,0,-1.8256580709198749,United-States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
28,0.01834751086577183,393480,9,Separated,Handlers-cleaners,Not-in-family,Black,Male,0,0,-0.1452026511818548,United-States,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
29,0.2485182901695971,34278,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,0.6950250586871553,United-States,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
32,0.2485182901695971,280410,9,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,-0.1452026511818548,Haiti,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
33,0.01834751086577183,24342,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,-0.1452026511818548,United-States,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
34,-0.672164827045704,167832,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,-0.1452026511818548,United-States,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
35,1.0924778142836231,167410,13,Divorced,Tech-support,Not-in-family,Amer-Indian-Eskimo,Male,0,0,-0.1452026511818548,United-States,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
36,0.32524188327087217,972354,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,0.5269795167133532,United-States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
37,-0.13509967533677836,324947,13,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,-0.1452026511818548,United-States,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
39,0.4019654763721473,567788,3,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,-0.1452026511818548,Mexico,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
42,0.8623070349797979,170562,12,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,-1.8256580709198749,United-States,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
43,-0.5954412339444289,236861,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,1.5352527685561652,United-States,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
45,0.32524188327087217,403276,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,-0.1452026511818548,United-States,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
46,-1.1325063856533546,285432,9,Never-married,Exec-managerial,Own-child,White,Male,0,0,-0.1452026511818548,United-States,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
47,0.2485182901695971,29320,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,-0.1452026511818548,United-States,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
48,1.015754221182348,145333,13,Divorced,Sales,Not-in-family,White,Male,0,0,1.5352527685561652,United-States,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
49,-0.05837608223550326,33975,9,Married-civ-spouse,Exec-managerial,Other-relative,White,Male,0,0,-0.1452026511818548,United-States,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
50,-0.5187176408431537,43403,10,Divorced,Farming-fishing,Not-in-family,White,Female,0,1590,1.0311161426347593,United-States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
51,-1.2092299787546297,203353,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,0.2749112037526502,United-States,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
53,-1.2092299787546297,481175,10,Never-married,Exec-managerial,Own-child,Other,Male,0,0,-1.4895669869722707,Peru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
54,-1.0557827925520795,266820,1,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,-0.5653165061163599,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
55,-0.2885468615393285,78247,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,0.6950250586871553,United-States,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
56,-0.05837608223550326,167482,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,0.8630706006609572,United-States,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
57,1.3226485935874484,109856,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,0.6950250586871553,United-States,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
58,-0.4419940477418787,133503,9,Married-civ-spouse,Sales,Husband,White,Male,0,1977,0.2749112037526502,United-States,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
60,-0.8256120132482542,42734,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,-0.1452026511818548,United-States,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
61,0.4786890694734224,88781,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,-0.1452026511818548,Germany,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
62,0.5554126625746975,75256,9,Married-civ-spouse,Priv-house-serv,Wife,White,Female,0,0,-0.1452026511818548,United-States,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
63,-0.4419940477418787,236396,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,-0.5653165061163599,United-States,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
64,1.7062665590938237,315977,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,-0.1452026511818548,United-States,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
65,-0.672164827045704,243190,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,-1.8256580709198749,India,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
66,-0.05837608223550326,99527,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,-0.1452026511818548,United-States,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
67,0.8623070349797979,166758,10,Divorced,Other-service,Not-in-family,White,Female,0,0,-2.24577192585438,United-States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
68,0.01834751086577183,194287,4,Never-married,Other-service,Own-child,White,Male,0,1602,-0.5653165061163599,United-States,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
69,0.32524188327087217,152958,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7298,0,-0.1452026511818548,United-States,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
71,-1.2092299787546297,33105,10,Never-married,Handlers-cleaners,Own-child,Amer-Indian-Eskimo,Male,0,0,-0.1452026511818548,United-States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
73,1.859713745296374,268965,8,Widowed,Sales,Unmarried,White,Female,0,0,-0.1452026511818548,United-States,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
74,-0.21182326843805344,370767,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2377,1.5352527685561652,United-States,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
75,0.01834751086577183,190297,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,99999,0,1.1151389136216603,United-States,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
76,1.0924778142836231,197054,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,-0.1452026511818548,United-States,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
77,-1.3626771649571798,478457,10,Never-married,Other-service,Own-child,Black,Female,0,0,-2.497840238815083,United-States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
78,2.0131609314989243,115880,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,-0.1452026511818548,United-States,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
79,0.32524188327087217,260960,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,0.6950250586871553,United-States,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
80,-1.1325063856533546,34568,11,Never-married,Transport-moving,Not-in-family,White,Male,0,0,-0.1452026511818548,United-States,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
81,1.859713745296374,172740,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,-0.1452026511818548,United-States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
82,-1.2092299787546297,163665,10,Never-married,Sales,Own-child,White,Female,0,0,-2.24577192585438,United-States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
83,0.8623070349797979,160572,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,3137,0,0.4429567457264522,United-States,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
84,-0.7488884201469791,239632,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,-0.1452026511818548,United-States,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
85,-0.7488884201469791,29616,9,Never-married,Farming-fishing,Own-child,White,Male,0,0,1.9553666234906701,United-States,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
87,-1.1325063856533546,211129,13,Never-married,Sales,Own-child,White,Female,0,0,-0.5653165061163599,United-States,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
88,-0.5187176408431537,153326,13,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,0,0,-0.1452026511818548,United-States,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
89,-0.5954412339444289,60186,13,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,-0.1452026511818548,United-States,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
90,-0.8256120132482542,204734,10,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,-0.1452026511818548,United-States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
91,3.9312507590308012,87285,9,Never-married,Other-service,Own-child,White,Female,0,0,-1.4895669869722707,United-States,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
92,-0.7488884201469791,413297,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,3411,0,2.375480478425175,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
93,2.1666081177014744,217892,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,10605,0,-0.5653165061163599,United-States,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
94,-0.5187176408431537,168138,12,Divorced,Sales,Not-in-family,White,Male,2597,0,0.5269795167133532,United-States,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
96,1.7062665590938237,273803,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,-0.1452026511818548,United-States,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
97,0.01834751086577183,188571,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,1.5352527685561652,United-States,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
98,-1.1325063856533546,239663,6,Married-civ-spouse,Other-service,Husband,White,Male,0,0,-0.1452026511818548,Mexico,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
99,0.2485182901695971,66460,10,Divorced,Exec-managerial,Unmarried,White,Female,0,0,0.2749112037526502,United-States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
100,-0.2885468615393285,197719,10,Never-married,Machine-op-inspct,Other-relative,Amer-Indian-Eskimo,Male,0,0,-0.1452026511818548,United-States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
101,-0.9790591994508043,163189,9,Never-married,Sales,Own-child,White,Male,0,0,-0.1452026511818548,United-States,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
102,0.7855834418785227,122206,11,Married-civ-spouse,Sales,Husband,White,Male,0,0,-1.40554421598537,United-States,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
103,1.0924778142836231,290688,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,0.8630706006609572,United-States,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
104,-1.3626771649571798,185582,10,Never-married,Sales,Own-child,White,Male,0,0,0.1068656617788482,United-States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
105,0.7088598487772476,80430,7,Never-married,Other-service,Not-in-family,White,Female,0,0,-0.9854303610508648,United-States,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
106,1.1692014073848982,421561,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,-0.1452026511818548,United-States,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
107,0.09507110396704692,183765,12,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,-0.1452026511818548,United-States,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
108,0.171794697068322,30759,4,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,1.5352527685561652,United-States,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
109,1.4760957797899985,182123,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,0.1908884327657492,United-States,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
111,-0.672164827045704,111415,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,0.2749112037526502,United-States,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
112,-0.05837608223550326,275223,13,Married-civ-spouse,Sales,Husband,White,Male,7688,0,-0.1452026511818548,United-States,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
115,-1.6695715373622801,327434,6,Never-married,Sales,Own-child,White,Male,0,0,-1.8256580709198749,United-States,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
116,1.2459250004861733,113398,10,Never-married,Adm-clerical,Unmarried,White,Male,0,0,-0.1452026511818548,United-States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
118,-0.9790591994508043,211596,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,-0.1452026511818548,United-States,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
119,1.3226485935874484,200316,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,-0.5653165061163599,United-States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
120,-0.672164827045704,130369,11,Separated,Prof-specialty,Unmarried,White,Female,0,0,-0.1452026511818548,United-States,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
121,0.01834751086577183,106347,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,-0.1452026511818548,United-States,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
122,-0.672164827045704,233980,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,-0.1452026511818548,United-States,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
124,0.939030628081073,293196,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,1.5352527685561652,Iran,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
126,-0.36527045464060365,62396,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,1.7032983105299673,United-States,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
127,0.01834751086577183,237943,9,Divorced,Machine-op-inspct,Unmarried,White,Male,0,1726,-0.1452026511818548,United-States,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
128,1.3226485935874484,98809,4,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,5013,0,0.2749112037526502,United-States,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
129,0.32524188327087217,33729,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,0.2749112037526502,United-States,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
130,-0.5187176408431537,178623,12,Never-married,Sales,Not-in-family,Black,Female,0,0,0.3589339747395512,Trinadad&Tobago,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
131,0.7855834418785227,175622,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,-0.1452026511818548,United-States,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
132,0.5554126625746975,359193,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,0.2749112037526502,United-States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
133,-0.36527045464060365,127195,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,-0.1452026511818548,United-States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
134,-0.05837608223550326,29430,10,Divorced,Machine-op-inspct,Unmarried,White,Male,0,0,-0.1452026511818548,United-States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
135,-0.672164827045704,340917,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,-0.1452026511818548,United-States,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
137,1.5528193728912736,114760,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,-1.8256580709198749,United-States,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
138,-0.7488884201469791,232784,12,Never-married,Exec-managerial,Own-child,White,Male,0,0,-0.1452026511818548,United-States,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
140,0.4019654763721473,254134,12,Divorced,Tech-support,Not-in-family,Black,Male,0,0,-0.1452026511818548,United-States,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
141,-1.51612435115973,156294,10,Never-married,Prof-specialty,Own-child,White,Male,0,0,-1.40554421598537,United-States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
142,-1.1325063856533546,142404,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,-0.1452026511818548,United-States,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
144,0.4019654763721473,296326,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,-0.1452026511818548,United-States,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
145,0.5554126625746975,366089,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,-0.1452026511818548,United-States,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
146,0.8623070349797979,312477,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1887,-0.1452026511818548,United-States,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
147,2.0131609314989243,149811,9,Divorced,Adm-clerical,Unmarried,White,Female,0,2206,1.4512299975692642,Canada,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
149,0.171794697068322,110562,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,-0.1452026511818548,United-States,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
151,-0.2885468615393285,206951,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,-0.1452026511818548,United-States,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
152,-0.2885468615393285,222868,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,-0.1452026511818548,United-States,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
154,-1.3626771649571798,203924,10,Never-married,Adm-clerical,Not-in-family,White,Male,2597,0,0.2749112037526502,United-States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
155,-0.05837608223550326,342448,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,1.1151389136216603,United-States,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
156,1.2459250004861733,278228,6,Married-civ-spouse,Sales,Husband,White,Male,0,0,-0.5653165061163599,United-States,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
157,-1.1325063856533546,341368,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,-0.1452026511818548,United-States,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
159,0.5554126625746975,268022,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,-0.1452026511818548,United-States,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
